CircleCode,SulphitesLanguage
00,ND
A0,Allemand
A1,Anglais
A2,Arabe
A3,Chinois
A4,Coréen
A5,Danois
A6,Espagnol
A7,Finlandais
A8,Français
A9,Grec
B0,Italien
B1,Japonais
B2,Lituanien
B3,Néerlandais
B4,Norvégien
B5,Polonais
B6,Portuguais
B7,Roumain
B8,Russe
B9,Suédois
C0,Tchèque
C1,Ukrainien
C2,Vietnamien
