CircleCode,BackLabelLanguage
00,ND
A0,Pas de contre-étiquette
A1,Allemand
A2,Anglais
A3,Arabe
A4,Chinois
A5,Coréen
A6,Danois
A7,Espagnol
A8,Finlandais
A9,Français
B0,Grec
B1,Italien
B2,Japonais
B3,Lituanien
B4,Néerlandais
B5,Norvégien
B6,Polonais
B7,Portuguais
B8,Roumain
B9,Russe
C0,Suédois
C1,Tchèque
C2,Ukrainien
C3,Vietnamien
