CircleCode,Capping
00,ND
A0,Bouchon liège
A1,Bouchon technique
A2,Bouchon en plastique
A3,Bouchon en verre
A4,Capsule à vis
A5,Bouchon liège avec plaque de muselet
A6,Bouchon technique avec plaque de muselet
A7,Bouchon plastique avec plaque de muselet
A8,Bouchon à Caspsule 
