CircleCode,BottleSizeAvailable
00,ND
A0,"0,05 L"
A1,"0,25 L"
A2,"0,33 L"
A3,"0,36 L"
A4,"0,50 L"
A5,"0,70 L"
A6,"0,73 L"
A7,"0,75 L"
A8,"0,36 L"
A9,"0,375 L"
B0,"1,48 L"
B1,"1,50 L"
B2,"2,25 L"
B3,"2,96 L"
B4,"3,0 L"
B5,"4,44 L"
B6,"4,5 L"
B7,"5,0 L"
B8,"5,92 L"
B9,"6,0 L"
C0,"9,0 L"
C1,"12,0 L"
C2,"15,0 L"
C3,"18,0 L"
C4,"27,0 L"
C5,"100,0 L"
C6,"225,0 L"
C7,"900,0 L"
