CircleCode,EstateCertificationOrganism
00,ND
A0,Sans certification
A1,COFRAC
A2,DEKRA
A3,Afnor
A4,Apave
A5,Bureau Veritas
A6,CONTROL UNION INSPECTIONS France
A7,ECOCERT ENVIRONNEMENT
A8,SGS ICS
A9,Atout France
