CircleCode,RewardType
00,ND
A0,Médaille d'Or
A1,Médaille d'Argent
A2,Médaille de Bronze
A3,Double Médaille d'Or
A4,Médaille de Platine
A5,Macaron
A6,Colerette
A7,Cône
A8,Une Etoile
A9,Deux Etoiles
B0,Trois Etoiles
