CircleCode,EstateCertificate
00,ND
A0,Sans certification
A1,ISO 9001
A2,ISO 14001
A3,ISO 50001
A4,Engagé RSE
A5,ISO 20121
A6,B Corp
A7,Bordeaux Cultivons Demain
A8,SME
A9,Vignerons engagés
B0,Vignobles & Découvertes
